year,country,epsilon,CRJ
2010,IND,0.3055,10.0571
2011,IND,0.3037,10.4383
2012,IND,0.3019,9.8346
2013,IND,0.3002,9.8962
2014,IND,0.2985,9.7512
2015,IND,0.2968,10.4211
2016,IND,0.2951,11.1558
2017,IND,0.2935,11.0692
2018,IND,0.2919,9.4516
2019,IND,0.2903,9.2527
2020,IND,0.2888,8.9568
2021,IND,0.2873,9.8435
2022,IND,0.2858,10.1280
2023,IND,0.2843,10.1278
2024,IND,0.4100,10.1563
